,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty
48,303.15 kelvin,101.325 kilopascal,2,1,C(CO)O,1.0,,,1.1186463248119085 gram / milliliter,0.00020226849810681374 gram / milliliter,,,,,19.734102210744283 dimensionless,1.1038200156256848 dimensionless,,
49,298.15 kelvin,101.0 kilopascal,2,2,C(COCCO)O,0.20020000000000004,O,0.7998,,,,,-70.96423933198275 kilogram * meter ** 2 / mole / second ** 2,18.39624093149033 kilogram * meter ** 2 / mole / second ** 2,,,,
50,298.15 kelvin,101.0 kilopascal,2,1,C(COCCO)O,1.0,,,1.1641208248967514 gram / milliliter,0.0002493393840105584 gram / milliliter,,,,,9.772298998145532 dimensionless,0.9513965682440942 dimensionless,,
51,298.15 kelvin,101.0 kilopascal,2,1,C(COCCOCCO)O,1.0,,,1.1807429604482866 gram / milliliter,0.0003019452472533699 gram / milliliter,,,,,2.5595016017193584 dimensionless,0.36550127387193776 dimensionless,,
52,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Br,1.0,,,1.8963477493168963 gram / milliliter,0.00036151897200277267 gram / milliliter,,,,,,,,
53,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.7326,C(Cl)(Cl)(Cl)Cl,0.2674,,,,,714.1482268054456 kilogram * meter ** 2 / mole / second ** 2,16.616178067075573 kilogram * meter ** 2 / mole / second ** 2,,,,
54,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.2551,C(Cl)(Cl)(Cl)Cl,0.7449,,,,,985.9483602717378 kilogram * meter ** 2 / mole / second ** 2,17.479509815100634 kilogram * meter ** 2 / mole / second ** 2,,,,
55,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Cl,1.0,,,1.61731447064625 gram / milliliter,0.0004393555004247524 gram / milliliter,,,,,,,,
56,298.15 kelvin,101.0 kilopascal,2,1,C1CC(=O)OC1,1.0,,,1.1401548132686368 gram / milliliter,0.00010633332999134846 gram / milliliter,,,,,31.174955454991256 dimensionless,1.4460033657432347 dimensionless,,
57,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)C1,1.0,,,0.9283660349517896 gram / milliliter,0.0001856618026406849 gram / milliliter,,,,,9.123772327398015 dimensionless,0.8566358802084274 dimensionless,,
58,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7569,C1CCC(=O)CC1,0.2431,,,,,330.0257462746158 kilogram * meter ** 2 / mole / second ** 2,16.726906550483463 kilogram * meter ** 2 / mole / second ** 2,,,,
