,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,Density Value,Density Uncertainty
123,303.15 kelvin,101.325 kilopascal,2,1,CCO,1.0,,,10.788825367257013 dimensionless,0.7744605937318374 dimensionless,,,,,,,0.7864107995923835 gram / milliliter,0.00029375972753560163 gram / milliliter
124,298.15 kelvin,101.325 kilopascal,6,1,CCc1ccc(s1)C=O,1.0,,,,,,,60594.88696925314 kilogram * meter ** 2 / mole / second ** 2,282.571475192735 kilogram * meter ** 2 / mole / second ** 2,,,,
125,303.15 kelvin,101.325 kilopascal,2,1,CN(C)C=O,1.0,,,23.750734134020536 dimensionless,1.4392472102495637 dimensionless,,,,,,,0.975097215645272 gram / milliliter,0.00017813059630241874 gram / milliliter
126,303.15 kelvin,101.325 kilopascal,2,1,CN(C)CCO,1.0,,,5.486656606560816 dimensionless,0.8830989908574048 dimensionless,,,,,,,0.934444225124334 gram / milliliter,0.00026804580143574206 gram / milliliter
127,303.15 kelvin,101.325 kilopascal,2,1,CN(CCO)CCO,1.0,,,2.0796475034750452 dimensionless,0.36457011404471257 dimensionless,,,,,,,1.0703683382891571 gram / milliliter,0.00035730916371515167 gram / milliliter
128,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.004409000000000001,O,0.995591,,,,,,,-109.67575216526893 kilogram * meter ** 2 / mole / second ** 2,15.012003234851099 kilogram * meter ** 2 / mole / second ** 2,,
129,298.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.2452,O,0.7548,,,-5.819858315849648e-07 meter ** 3 / mole,1.3984277592211738e-08 meter ** 3 / mole,,,,,,
130,308.15 kelvin,101.0 kilopascal,2,2,CN1CCCCC1,0.78,O,0.22,,,-4.135826334822427e-07 meter ** 3 / mole,1.477249125646903e-08 meter ** 3 / mole,,,,,,
131,298.15 kelvin,101.325 kilopascal,2,1,CN1CCCCC1,1.0,,,,,,,,,,,0.8636054744154075 gram / milliliter,0.00027215857689994756 gram / milliliter
132,298.15 kelvin,101.325 kilopascal,2,1,COC=O,1.0,,,,,,,,,,,1.0453894488415167 gram / milliliter,0.0004289293592890103 gram / milliliter
133,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1)O,1.0,,,,,,,75341.81129648071 kilogram * meter ** 2 / mole / second ** 2,308.9410692852256 kilogram * meter ** 2 / mole / second ** 2,,,,
134,298.15 kelvin,101.325 kilopascal,6,1,COc1cccc(c1OC)O,1.0,,,,,,,79252.84273318422 kilogram * meter ** 2 / mole / second ** 2,308.8563654305152 kilogram * meter ** 2 / mole / second ** 2,,,,
135,298.15 kelvin,101.325 kilopascal,6,1,COc1ccccn1,1.0,,,,,,,53327.121272191915 kilogram * meter ** 2 / mole / second ** 2,188.15833159491166 kilogram * meter ** 2 / mole / second ** 2,,,,
136,298.15 kelvin,101.325 kilopascal,6,1,COc1ccncc1,1.0,,,,,,,60245.53392219345 kilogram * meter ** 2 / mole / second ** 2,269.67252494102945 kilogram * meter ** 2 / mole / second ** 2,,,,
137,298.15 kelvin,101.0 kilopascal,2,2,CO,0.2,O,0.8,,,,,,,-266.9694112565048 kilogram * meter ** 2 / mole / second ** 2,16.281846831145085 kilogram * meter ** 2 / mole / second ** 2,,
138,298.15 kelvin,100.0 kilopascal,2,2,O,0.75,CO,0.25,,,-8.846690441525448e-07 meter ** 3 / mole,1.2462948849232899e-08 meter ** 3 / mole,,,,,,
139,298.15 kelvin,100.0 kilopascal,2,2,O,0.25,CO,0.75,,,-8.133675071660164e-07 meter ** 3 / mole,1.5460263643495455e-08 meter ** 3 / mole,,,,,,
140,298.15 kelvin,101.0 kilopascal,2,2,CO,0.8,O,0.2,,,,,,,-102.38183964142218 kilogram * meter ** 2 / mole / second ** 2,15.672231819782894 kilogram * meter ** 2 / mole / second ** 2,,
141,298.15 kelvin,101.0 kilopascal,2,1,CO,1.0,,,19.114149258915457 dimensionless,1.0065327082960163 dimensionless,,,,,,,0.781397202459998 gram / milliliter,0.00043103397319532776 gram / milliliter
142,303.15 kelvin,101.0 kilopascal,2,1,CS(=O)C,1.0,,,51.68926184967958 dimensionless,1.4892367416832017 dimensionless,,,,,,,1.0864777708930828 gram / milliliter,0.0001095026668580772 gram / milliliter
143,303.15 kelvin,101.325 kilopascal,2,1,CSSC,1.0,,,,,,,,,,,0.9986210740649372 gram / milliliter,0.0003357461845555315 gram / milliliter
144,298.15 kelvin,101.325 kilopascal,6,1,Cc1cc(sc1)C(=O)C,1.0,,,,,,,64362.39457383508 kilogram * meter ** 2 / mole / second ** 2,291.8380359170505 kilogram * meter ** 2 / mole / second ** 2,,,,
145,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccc(s1)C=O,1.0,,,,,,,57418.53724447813 kilogram * meter ** 2 / mole / second ** 2,245.57921178388818 kilogram * meter ** 2 / mole / second ** 2,,,,
146,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccc(n1)C,0.004618,O,0.995382,,,,,,,-82.44607773429016 kilogram * meter ** 2 / mole / second ** 2,14.23786463803573 kilogram * meter ** 2 / mole / second ** 2,,
147,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccc(n1)C,1.0,,,,,,,,,,,0.9229153220772184 gram / milliliter,0.0002890609539547826 gram / milliliter
148,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2374,c1ccncc1,0.7626,,,-2.992753639953911e-07 meter ** 3 / mole,1.8081730406976375e-08 meter ** 3 / mole,,,,,,
149,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2655,Cc1ccncc1,0.7344999999999999,,,-3.295659420310621e-07 meter ** 3 / mole,1.7205521076422957e-08 meter ** 3 / mole,,,,,,
150,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2681,c1ccncc1,0.7319,,,,,,,-1387.3153692884662 kilogram * meter ** 2 / mole / second ** 2,17.453943515105998 kilogram * meter ** 2 / mole / second ** 2,,
151,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.2715,Cc1ccncc1,0.7284999999999999,,,,,,,-1302.1084761614038 kilogram * meter ** 2 / mole / second ** 2,18.790772633824385 kilogram * meter ** 2 / mole / second ** 2,,
152,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7678,c1ccncc1,0.2322,,,-2.596026727408264e-07 meter ** 3 / mole,1.6475691976673162e-08 meter ** 3 / mole,,,,,,
153,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7735,c1ccncc1,0.2265000000000001,,,,,,,-1045.9625135776878 kilogram * meter ** 2 / mole / second ** 2,16.827981158719393 kilogram * meter ** 2 / mole / second ** 2,,
154,308.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7827,Cc1ccncc1,0.21730000000000005,,,,,,,-890.6922601853148 kilogram * meter ** 2 / mole / second ** 2,17.27930269939165 kilogram * meter ** 2 / mole / second ** 2,,
155,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccccc1N,1.0,,,,,,,,,,,1.0171721210186369 gram / milliliter,0.00030191674083500733 gram / milliliter
156,298.15 kelvin,101.0 kilopascal,2,2,Cc1cccnc1,0.005509,O,0.994491,,,,,,,-32.275331855264085 kilogram * meter ** 2 / mole / second ** 2,15.468967141145031 kilogram * meter ** 2 / mole / second ** 2,,
157,298.15 kelvin,101.325 kilopascal,2,1,Cc1cccnc1,1.0,,,,,,,,,,,0.9443619207699508 gram / milliliter,0.0003014018570851272 gram / milliliter
158,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccncc1,0.005492,O,0.994508,,,,,,,-39.40993487525702 kilogram * meter ** 2 / mole / second ** 2,14.786082850865224 kilogram * meter ** 2 / mole / second ** 2,,
159,298.15 kelvin,101.325 kilopascal,2,1,Cc1ccncc1,1.0,,,,,,,,,,,0.9474558710983529 gram / milliliter,0.0002888150498631365 gram / milliliter
160,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C#N,1.0,,,,,,,58707.681384671225 kilogram * meter ** 2 / mole / second ** 2,164.77541269194634 kilogram * meter ** 2 / mole / second ** 2,,,,
161,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C(=O)C,1.0,,,,,,,62244.01153998983 kilogram * meter ** 2 / mole / second ** 2,290.5104970282817 kilogram * meter ** 2 / mole / second ** 2,,,,
162,298.15 kelvin,101.325 kilopascal,6,1,Cc1ccsc1C=O,1.0,,,,,,,59935.743871041755 kilogram * meter ** 2 / mole / second ** 2,286.6165868567281 kilogram * meter ** 2 / mole / second ** 2,,,,
163,298.15 kelvin,101.325 kilopascal,6,1,Cn1cccc1C(=O)OC,1.0,,,,,,,70867.5482102551 kilogram * meter ** 2 / mole / second ** 2,320.49186048281587 kilogram * meter ** 2 / mole / second ** 2,,,,
164,298.15 kelvin,101.0 kilopascal,2,2,Cn1ccnc1,0.006766,O,0.993234,,,,,,,-49.33442415667378 kilogram * meter ** 2 / mole / second ** 2,15.456289876620222 kilogram * meter ** 2 / mole / second ** 2,,
165,298.15 kelvin,101.325 kilopascal,2,1,Cn1ccnc1,1.0,,,,,,,,,,,1.0439406182474675 gram / milliliter,0.00028603242278681134 gram / milliliter
166,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.75,O,0.25,,,,,,,137.56816287679248 kilogram * meter ** 2 / mole / second ** 2,16.268293258689784 kilogram * meter ** 2 / mole / second ** 2,,
167,297.15 kelvin,101.0 kilopascal,2,2,c1ccncc1,0.27,O,0.73,,,,,,,-46.94995951512465 kilogram * meter ** 2 / mole / second ** 2,18.04932292737248 kilogram * meter ** 2 / mole / second ** 2,,
168,296.3 kelvin,101.325 kilopascal,2,1,c1c(cc(c(c1F)F)F)F,1.0,,,,,,,,,,,1.2522033573161835 gram / milliliter,0.0003613085804484371 gram / milliliter
169,298.15 kelvin,101.325 kilopascal,2,1,c1cc(cc(c1)Br)Cl,1.0,,,,,,,,,,,1.5154698729069411 gram / milliliter,0.0003923407117378866 gram / milliliter
170,298.15 kelvin,101.325 kilopascal,6,1,c1cc(cc(c1)Cl)F,1.0,,,,,,,38787.870917714004 kilogram * meter ** 2 / mole / second ** 2,245.4112784619491 kilogram * meter ** 2 / mole / second ** 2,,,,
171,296.1 kelvin,101.325 kilopascal,2,1,c1cc(ccc1F)F,1.0,,,,,,,,,,,1.0720905976855233 gram / milliliter,0.000339744812201629 gram / milliliter
172,298.15 kelvin,101.325 kilopascal,6,1,c1cc(sc1)CC#N,1.0,,,,,,,63936.10877888738 kilogram * meter ** 2 / mole / second ** 2,259.5646480051501 kilogram * meter ** 2 / mole / second ** 2,,,,
173,298.15 kelvin,101.325 kilopascal,2,1,c1cc[nH]c1,1.0,,,,,,,,,,,0.9872724336631634 gram / milliliter,0.00036238785544520484 gram / milliliter
174,298.15 kelvin,101.325 kilopascal,2,1,c1ccc(c(c1)Cl)Br,1.0,,,,,,,,,,,1.5305007036639884 gram / milliliter,0.0003480377368203161 gram / milliliter
175,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Br,1.0,,,,,,,43358.27909257543 kilogram * meter ** 2 / mole / second ** 2,237.5426725726515 kilogram * meter ** 2 / mole / second ** 2,,,,
176,298.15 kelvin,101.325 kilopascal,6,1,c1ccc(c(c1)F)Cl,1.0,,,,,,,40902.486820767175 kilogram * meter ** 2 / mole / second ** 2,170.881625926417 kilogram * meter ** 2 / mole / second ** 2,,,,
177,298.15 kelvin,101.325 kilopascal,2,1,c1ccc2c(c1)ccs2,1.0,,,,,,,,,,,1.1496071809453312 gram / milliliter,0.0003609501348395054 gram / milliliter
178,298.15 kelvin,101.325 kilopascal,2,1,c1ccccc1,1.0,,,,,,,,,,,0.857372318869893 gram / milliliter,0.00037727400133237023 gram / milliliter
179,298.0 kelvin,101.325 kilopascal,6,1,c1ccccc1,1.0,,,,,,,31794.59008181445 kilogram * meter ** 2 / mole / second ** 2,157.73383646030103 kilogram * meter ** 2 / mole / second ** 2,,,,
180,298.15 kelvin,101.325 kilopascal,2,1,c1ccncc1,1.0,,,,,,,,,,,0.9841451544981183 gram / milliliter,0.00032708185656814905 gram / milliliter
181,293.15 kelvin,101.325 kilopascal,2,1,c1ccoc1,1.0,,,,,,,,,,,0.9543914454469098 gram / milliliter,0.0003249623076991186 gram / milliliter
182,298.15 kelvin,101.0 kilopascal,2,1,c1cnc(nc1O)O,1.0,,,,,,,,,,,1.4568685676550837 gram / milliliter,0.00033540710827512066 gram / milliliter
183,298.15 kelvin,101.325 kilopascal,6,1,c1coc2c1C(=O)CCC2,1.0,,,,,,,70376.35418887838 kilogram * meter ** 2 / mole / second ** 2,275.6640880576916 kilogram * meter ** 2 / mole / second ** 2,,,,
184,298.15 kelvin,101.325 kilopascal,6,1,c1cscc1CC#N,1.0,,,,,,,63985.997787542125 kilogram * meter ** 2 / mole / second ** 2,235.2291405351122 kilogram * meter ** 2 / mole / second ** 2,,,,
